D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|32|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|42|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
D|2|1|190198776433|10||1|EACH|3530641090673|
